Mouse replicate,Mouse,timepoint after AB application,Day,Group,KB1,log10 KB1,YL2,log10 YL2,KB18,log10 KB18,YL27,log10 YL27,YL31,log10 YL31,YL32,log10 YL32,YL44,log10 YL44,YL45,log10 YL45,I46,log10 I46,I48,log10 I48,I49,log10 I49,YL58,log10 YL58,universal,log10 universal
D,1699,TRUE,18,Vancomycin,467340.85,5.669633744,261710.88,5.417821778,18693.63,4.271693643,265636.54,5.424287815,97150815.65,7.987446451,20002188.33,7.30E+00,1.46E+11,11.16578723,1797579841,9.254688189,13509889.26,7.13E+00,2.22E+11,11.34724022,3056409151,9.485211491,200769628.7,8.30E+00,3.01E+13,13.47852032
A,1681,FALSE,23,water,10026146.17,7.001134032,284718.15,5.454415153,20337.01,4.308287102,19135093161,10.28183058,5541835356,9.743653619,2936664313,9.47E+00,96417766685,10.98415707,4185356757,9.621732483,1351394346,9.13E+00,1.47E+11,11.16676451,1985502333,9.297870402,6029923607,9.78E+00,2.41E+13,13.38273727
C,1683,FALSE,23,water,23864814.52,7.377758063,226975.14,5.355978293,16212.51,4.209850257,41098712510,10.61382822,13227786800,10.12148719,4944815509,9.69E+00,1.75E+11,11.24287174,9403255722,9.973278247,2118975039,9.33E+00,3.16E+11,11.50010743,1927667423,9.285032108,10651618982,1.00E+01,5.55E+13,13.74413019
D,1684,FALSE,23,water,33199309.2,7.521129047,349203.85,5.543079023,24943.13,4.39695095,47541610317,10.67707389,12386759540,10.09295771,3781378869,9.58E+00,1.91E+11,11.28032792,9216487415,9.964565434,2748733188,9.44E+00,3.42E+11,11.53462127,1441713052,9.15887883,11256835643,1.01E+01,6.10E+13,13.78523015
A,1686,FALSE,23,Ciprofloxacin,82314704.35,7.915477423,648512.02,5.81191803,46322.29,4.665790021,46785510071,10.67011137,7601487329,9.880898576,3574227680,9.55E+00,2.31E+11,11.36432582,12831273554,10.10826976,7119735543,9.85E+00,2.83E+11,11.45176035,7003929825,9.845341786,21794636127,1.03E+01,5.11E+13,13.70836565
B,1687,FALSE,23,Ciprofloxacin,36401930.45,7.561124416,323367.4,5.509696235,23097.67,4.363568172,27255252495,10.43545021,4450921318,9.648449917,2061467191,9.31E+00,1.58E+11,11.19849763,8855647294,9.947220311,2776340127,9.44E+00,1.69E+11,11.22778133,4055951134,9.608092714,13870151799,1.01E+01,3.13E+13,13.49550687
C,1688,FALSE,23,Ciprofloxacin,74507644.51,7.872200834,326276.83,5.513586234,23305.49,4.367458238,25705953049,10.41003371,5437170305,9.735372936,3905999756,9.59E+00,1.26E+11,11.10097676,7096521037,9.851045495,2836277866,9.45E+00,1.82E+11,11.26055314,1493648713,9.174248469,9401433780,9.97E+00,3.90E+13,13.59095435
D,1689,FALSE,23,Ciprofloxacin,37259674.28,7.571239054,439456.98,5.642916367,31389.78,4.496788272,30065135661,10.47806317,6714274919,9.82699912,3685160708,9.57E+00,1.25E+11,11.09765289,5643883266,9.751578023,2426116449,9.38E+00,1.74E+11,11.24021966,685238997.2,8.835842071,9887782139,1.00E+01,3.81E+13,13.58136475
A,1691,FALSE,23,Tetracyclin,170271745.5,8.231142588,291775.33,5.465048569,20841.09,4.318920429,4480835407,9.651358991,83364.38,4.920980525,601057177.4,8.78E+00,80279897618,10.90460681,195822927.8,8.29186354,6429477782,9.8081757,79112796303,10.89824674,1282352570,9.108007447,18873695556,1.03E+01,2.05E+13,13.31209269
B,1692,FALSE,23,Tetracyclin,106935754.7,8.029122939,239843.09,5.379927211,17131.65,4.233799193,11205811780,10.04944332,163264617.4,8.212892075,1312798283,9.12E+00,81786493563,10.91268159,689720199.2,8.838672945,4688932402,9.67E+00,1.31E+11,11.11729119,808271212.1,8.907557111,14738357858,1.02E+01,2.04E+13,13.30934693
C,1693,FALSE,23,Tetracyclin,301805653.8,8.479727371,383071.55,5.583279899,27362.25,4.437151807,23400199013,10.36921955,109449.01,5.039211838,653957853.6,8.82E+00,1.23E+11,11.09036388,2715977262,9.43392613,14414435033,1.02E+01,1.55E+11,11.19127212,2231939001,9.348682321,25589179276,1.04E+01,2.83E+13,13.45167286
D,1694,FALSE,23,Tetracyclin,321972590.1,8.507818901,288395.15,5.459987952,20599.65,4.313859842,4430985549,9.646500334,82398.62,4.915919938,1427968007,9.15E+00,91956854918,10.96358411,624169512.6,8.795302552,11682063715,1.01E+01,1.76E+11,11.24445278,3223845832,9.508374265,37697366599,1.06E+01,3.04E+13,13.48353452
A,1696,FALSE,23,Vancomycin,252613.53,5.402456608,141463.57,5.150644614,10104.54,4.004516547,80836.33,4.907606588,4975476019,9.696834637,102965.27,5.01E+00,58778115362,10.76921566,5169483208,9.713447129,2955578261,9.470642464,92022055459,10.96389193,494819375.9,8.694446697,3586101623,9.55E+00,1.38E+13,13.14123649
B,1697,FALSE,23,Vancomycin,392568.97,5.593915968,219838.62,5.342103989,15702.76,4.195975993,125622.07,5.099065945,8780982621,9.943543118,99602.6,5.00E+00,95504177931,10.98002237,6885659655,9.837945553,5990602414,9.78E+00,1.15E+11,11.06179164,2382108483,9.376961536,9768686138,9.99E+00,1.96E+13,13.29218959
C,1698,FALSE,23,Vancomycin,490025.28,5.690218486,274414.16,5.438406518,19601.01,4.29227845,156808.09,5.195368465,11697883590,10.0681073,64663.74,4.81E+00,1.47E+11,11.16641235,15576923742,10.19248169,20992683186,1.03E+01,1.83E+11,11.26304398,9802465790,9.991335335,40632896587,1.06E+01,3.63E+13,13.56038851
D,1699,FALSE,23,Vancomycin,505829.6,5.70400424,283264.57,5.452192257,20233.18,4.306064145,161865.47,5.209154213,7678493274,9.885276008,208199.46,5.32E+00,1.19E+11,11.07484934,8866181166,9.947736601,15021115695,1.02E+01,1.24E+11,11.09416355,6585901345,9.818615221,28609721973,1.05E+01,2.55E+13,13.4057441
A,1681,FALSE,30,water,23609032.68,7.373078193,152316.34,5.182746496,10879.74,4.036618517,27482219608,10.43905181,9024743137,9.95543485,4972040523,9.70E+00,1.29E+11,11.11106751,4981832288,9.697389103,2157452157,9.33E+00,1.73E+11,11.23883365,1711382876,9.233347182,7999871765,9.90E+00,4.47E+13,13.65003734
C,1683,FALSE,30,water,44729361.89,7.650592703,213069.43,5.328521144,15219.25,4.182393251,43268314340,10.63616998,16223715472,10.21015032,5765050113,9.76E+00,1.90E+11,11.27965098,6973458189,9.843448201,3027107887,9.48E+00,3.39E+11,11.52991776,2252448302,9.352654832,13606005283,1.01E+01,7.18E+13,13.85596715
D,1684,FALSE,30,water,27405650.96,7.437840122,307928.66,5.488450112,21994.9,4.342321992,27757569427,10.44338143,4937856051,9.693538425,3336627006,9.52E+00,1.66E+11,11.21986733,5006040255,9.699494338,1686129376,9.23E+00,1.95E+11,11.29058882,1133617376,9.054466494,6396118217,9.81E+00,3.90E+13,13.59078612
A,1686,FALSE,30,Ciprofloxacin,70551506.9,7.848506294,439768.97,5.643224582,31412.07,4.497096557,51704265517,10.71352637,11609900690,10.0648285,3813425172,9.58E+00,2.55E+11,11.40633235,6527427931,9.814742085,5035354655,9.70E+00,2.35E+11,11.3705908,2657146914,9.424415567,16616984483,1.02E+01,5.51E+13,13.74112638
B,1687,FALSE,30,Ciprofloxacin,70808612.7,7.850086086,268577.78,5.42907008,19184.13,4.282942109,37562520635,10.57475473,9718678730,9.987607226,5720706667,9.76E+00,1.49E+11,11.17302884,8256848254,9.916814303,4162955556,9.62E+00,2.26E+11,11.35334872,3656494603,9.563064937,16147279683,1.02E+01,4.90E+13,13.68999307
C,1688,FALSE,30,Ciprofloxacin,70010577.68,7.845163661,229973.74,5.361678248,16426.7,4.215550326,39769030635,10.59954501,10399741138,10.01702253,5059422319,9.70E+00,1.90E+11,11.27775586,8430180306,9.925836863,3255771116,9.51E+00,2.91E+11,11.46327768,2468932385,9.392509196,13253058206,1.01E+01,6.12E+13,13.78702596
D,1689,FALSE,30,Ciprofloxacin,47577767.48,7.67740406,160735.7,5.206112346,11481.12,4.059984256,34098930841,10.53274076,9243450916,9.965834139,4103352822,9.61E+00,1.59E+11,11.2001772,5972479402,9.776154661,2687730542,9.43E+00,2.23E+11,11.34733782,433756770.1,8.637246266,9382372486,9.97E+00,5.04E+13,13.70225127
A,1691,FALSE,30,Tetracyclin,73361409.98,7.86546767,200167.56,5.301393695,14297.68,4.155265573,31798046346,10.50240044,12683474332,10.10323823,9149087166,9.96E+00,1.61E+11,11.20796003,9516537611,9.978478968,5616129768,9.75E+00,2.58E+11,11.41126101,2464920499,9.391802917,15655962567,1.02E+01,5.17E+13,13.71325359
B,1692,FALSE,30,Tetracyclin,291991225.9,8.465369801,368609.3,5.566566288,26329.24,4.420438323,56739503322,10.75388553,23693679369,10.37463251,10884506113,1.00E+01,2.45E+11,11.38924762,19610014884,10.29247792,26102804452,1.04E+01,4.04E+11,11.60654688,10737062392,1.00E+01,1.02E+11,1.10E+01,9.95E+13,13.99793
C,1693,FALSE,30,Tetracyclin,94360328.16,7.974789443,448115.53,5.651389995,32008.25,4.50526193,38601952427,10.58660927,15965716311,10.20318841,7342693107,9.87E+00,2.45E+11,11.38892317,8821474369,9.945541177,6049559709,9.78E+00,3.03E+11,11.48101529,3232833495,9.509583337,22082493350,1.03E+01,6.70E+13,13.82603137
D,1694,FALSE,30,Tetracyclin,69721573.13,7.843367178,225271.64,5.352706521,16090.83,4.206578447,42576340299,10.62916833,16460920682,10.21645412,11887906354,1.01E+01,2.07E+11,11.31581926,15201008571,10.1818724,7030084307,9.85E+00,2.93E+11,11.46688837,2840031770,9.453323198,21175534328,1.03E+01,6.93E+13,13.84075329
A,1696,FALSE,30,Vancomycin,47901857.55,7.680352355,272501.42,5.43536877,19464.39,4.289240798,155715.1,5.192330729,4788239316,9.680175848,1291851396,9.11E+00,1.95E+11,11.2901081,6485533903,9.811945734,4397005128,9.64E+00,1.51E+11,11.17994225,1597052991,9.203319326,11916098006,1.01E+01,1.63E+13,13.2116544
B,1697,FALSE,30,Vancomycin,25912693.45,7.413512557,206593.23,5.315116086,14756.66,4.168988071,118053.27,5.072078021,8184043160,9.912967911,2111677923,9.32E+00,1.55E+11,11.1905894,3022163792,9.480317998,4226307178,9.63E+00,1.36E+11,11.13409419,3602100497,9.556555825,9758578691,9.99E+00,2.36E+13,13.37283655
C,1698,FALSE,30,Vancomycin,28841763.73,7.460021815,253315.37,5.403661542,18093.95,4.257533386,144751.64,5.160623493,6274983476,9.797612587,2124230277,9.33E+00,1.64E+11,11.21547629,5665217204,9.753216565,3092256851,9.49E+00,1.62E+11,11.20896778,2297932242,9.361337219,8527680831,9.93E+00,2.18E+13,13.3392407
D,1699,FALSE,30,Vancomycin,27769700.81,7.443571201,170740.37,5.232336218,12195.74,4.086208157,97565.92,4.989298144,4801462982,9.681373585,2779409229,9.44E+00,1.32E+11,11.12203885,3819705882,9.582029923,2597692698,9.41E+00,1.13E+11,11.05211655,3025763185,9.480834934,7046698783,9.85E+00,1.96E+13,13.29303312
A,1681,FALSE,37,water,105577363.8,8.023570814,277209.88,5.442808705,19800.71,4.296680763,31582125882,10.49944136,8294515694,9.918791033,3817576094,9.58E+00,1.77E+11,11.24719231,8367778306,9.922610166,4568022847,9.66E+00,2.22E+11,11.34551096,4041324071,9.606523678,17860236706,1.03E+01,4.19E+13,13.62178574
C,1683,FALSE,37,water,51505478.11,7.711853423,310273.96,5.491745329,22162.43,4.345617377,20101320414,10.30322459,6161154438,9.789662095,2965332604,9.47E+00,1.27E+11,11.10452808,5593796331,9.74770665,2573057663,9.41E+00,2.03E+11,11.30699085,4159887367,9.619081572,11296188550,1.01E+01,2.88E+13,13.45989435
D,1684,FALSE,37,water,55917423.53,7.747547153,331713.53,5.520763186,23693.82,4.374635085,24286169118,10.38535901,15282516176,10.18419486,6954137206,9.84E+00,2.70E+11,11.43154066,13275649324,10.12305577,7266895676,9.86E+00,4.72E+11,11.67414254,4134572206,9.616430581,28408894412,1.05E+01,1.15E+14,14.05965807
A,1686,FALSE,37,Ciprofloxacin,44541243.78,7.64876234,257676.62,5.411075015,18405.47,4.264946912,20246019901,10.30633966,10439584080,10.0186832,3456547761,9.54E+00,2.18E+11,11.33903185,9057333085,9.957000339,4402589055,9.64E+00,2.90E+11,11.46305344,1774103507,9.248978954,15883922886,1.02E+01,5.58E+13,13.74667623
B,1687,FALSE,37,Ciprofloxacin,87072183.13,7.939879434,314827.11,5.498072123,22487.65,4.351944073,30808081325,10.48866465,13180012018,10.11991581,9602226807,9.98E+00,2.89E+11,11.46152254,13537565663,10.13154058,7598577139,9.88E+00,4.35E+11,11.63817565,3150519849,9.49838222,31640124398,1.05E+01,8.65E+13,13.93684035
C,1688,FALSE,37,Ciprofloxacin,51542413.79,7.712164753,379786.21,5.579539191,27127.59,4.433411213,26085886897,10.41640561,14724853793,10.16805099,8770348621,9.94E+00,2.35E+11,11.37042796,15837084828,10.19967524,6700513793,9.83E+00,3.91E+11,11.59267741,3106108621,9.492216639,28673858621,1.05E+01,7.48E+13,13.87400551
D,1689,FALSE,37,Ciprofloxacin,57442256.12,7.759231489,397720.86,5.59957837,28408.63,4.45345029,36902814388,10.56705949,6477168345,9.811385185,5380595108,9.73E+00,2.29E+11,11.35994736,11465724317,10.0594015,7062386187,9.85E+00,3.66E+11,11.56370292,699988719.4,8.845091041,27786484029,1.04E+01,7.61E+13,13.88158492
A,1691,FALSE,37,Tetracyclin,57776884,7.761754116,388696,5.589610071,27764,4.443482036,36176492000,10.55842645,15853244000,10.20011814,4428358000,9.65E+00,2.95E+11,11.47042372,15198013600,10.18178683,5633315600,9.75E+00,4.23E+11,11.62618223,931759840,8.969303988,19637477200,1.03E+01,6.76E+13,13.82998074
B,1692,FALSE,37,Tetracyclin,42420538.46,7.627576177,385641.26,5.586183493,27545.8,4.44005539,24807751259,10.3945874,15659789685,10.19478593,5376940979,9.73E+00,2.50E+11,11.39857188,13255040979,10.12238107,5555988706,9.74E+00,3.24E+11,11.51009306,1124970643,9.051141189,15183247273,1.02E+01,5.51E+13,13.74108539
C,1693,FALSE,37,Tetracyclin,100354868.3,8.001538445,333404.88,5.522971952,23814.63,4.376843838,32697492683,10.51451445,20487729756,10.31149384,7849303415,9.89E+00,2.73E+11,11.436029,10428428293,10.01821886,10914246829,1.00E+01,5.08E+11,11.70583464,2283108976,9.358526641,31602019512,1.05E+01,9.03E+13,13.95582672
D,1694,FALSE,37,Tetracyclin,47381224.68,7.675606282,365072.73,5.562379393,26076.62,4.416251298,36429042857,10.56144776,8863444286,9.947602519,3559459091,9.55E+00,2.82E+11,11.44967583,18060669351,10.25673384,5627335325,9.75E+00,4.04E+11,11.60686269,735621545.5,8.866654441,19359285195,1.03E+01,6.63E+13,13.82176827
A,1696,FALSE,37,Vancomycin,59984802.91,7.778041236,385931.64,5.586510385,27566.55,4.440382417,220532.36,5.343472325,14874907927,10.17245429,7859222109,9.90E+00,3.69E+11,11.56716287,12528994909,10.09791623,10629659927,1.00E+01,3.86E+11,11.58682014,2205323636,9.343472332,21750004364,1.03E+01,7.86E+13,13.89568437
B,1697,FALSE,37,Vancomycin,52758895.19,7.722295693,292293.05,5.465818489,20878.07,4.319690349,167024.6,5.22278044,11482941176,10.06005314,5346874973,9.73E+00,2.03E+11,11.30686446,8833513476,9.946133476,6394954332,9.81E+00,2.91E+11,11.46457598,1514913112,9.180387725,14121929840,1.01E+01,6.03E+13,13.78058803
C,1698,FALSE,37,Vancomycin,45493384.31,7.657948246,236416.99,5.373678684,16886.93,4.227550703,135095.42,5.130640626,7843978105,9.894536373,5442656928,9.74E+00,2.01E+11,11.30346174,7700439216,9.886515497,6221144314,9.79E+00,2.50E+11,11.39839838,2747503203,9.438938207,15893976732,1.02E+01,5.19E+13,13.71539574
D,1699,FALSE,37,Vancomycin,45850064.69,7.661339953,385757.76,5.586314671,27554.13,4.440186703,220433,5.343276611,18450242376,10.26600208,13743997756,1.01E+01,2.53E+11,11.402887,14143532574,10.1505579,7511254587,9.88E+00,4.44E+11,11.6470121,3075040396,9.487850825,17361854422,1.02E+01,7.70E+13,13.88625772
A,1681,FALSE,44,water,32738597.37,7.515060069,273963.16,5.437692167,19568.8,4.291564195,21662658271,10.33571175,17355566053,10.23943878,9792226015,9.99E+00,2.33E+11,11.3674752,12030896391,10.08029799,5128981692,9.71E+00,4.22E+11,11.62501184,2692666466,9.430182562,23815225940,1.04E+01,8.94E+13,13.95119516
C,1683,FALSE,44,water,25335099.03,7.403722606,229128.8,5.360079681,16366.34,4.213951569,17381056311,10.24007617,12502249450,10.09698816,4247066019,9.63E+00,2.08E+11,11.31707042,8373021100,9.922882186,3220896311,9.51E+00,3.94E+11,11.59506723,3035956634,9.482295564,15364722848,1.02E+01,6.68E+13,13.82471795
D,1684,FALSE,44,water,26900479.81,7.429760026,172281.21,5.236237913,12305.8,4.090109852,20587604176,10.31360581,15652978190,10.19459698,5357945522,9.73E+00,2.20E+11,11.34320568,10949701253,10.03940227,3091217077,9.49E+00,4.40E+11,11.64362833,1327795870,9.123131313,14643902552,1.02E+01,7.05E+13,13.84788531
A,1686,FALSE,44,Ciprofloxacin,175126407.8,8.243351639,177922.33,5.250230457,12708.74,4.104102495,27781300971,10.44375258,18643718447,10.27053254,7307524272,9.86E+00,2.84E+11,11.45299097,15148815534,10.18037868,9737434951,9.99E+00,4.00E+11,11.60172328,2973844660,9.473318279,29674902913,1.05E+01,8.30E+13,13.91908228
B,1687,FALSE,44,Ciprofloxacin,73664150,7.867256182,196700,5.29380436,14050,4.147676324,28844650000,10.46006527,9375565000,9.971997449,3362165000,9.53E+00,2.24E+11,11.35043798,12036635000,10.08050509,3253980000,9.51E+00,2.41E+11,11.38168714,1174580000,9.069882602,14232650000,1.02E+01,4.43E+13,13.64598688
C,1688,FALSE,44,Ciprofloxacin,114410325.4,8.058465221,214970.41,5.332378685,15355.03,4.186250669,42702337278,10.63045165,12397650888,10.0933394,4477526627,9.65E+00,2.84E+11,11.45295271,17550798817,10.24429689,6071378698,9.78E+00,3.58E+11,11.55416559,1839532544,9.264707476,20330059172,1.03E+01,7.04E+13,13.84740051
D,1689,FALSE,44,Ciprofloxacin,54563851.2,7.736905016,157829.32,5.198187685,11273.52,4.05205954,17609242888,10.24574068,9355896718,9.971085419,4908491904,9.69E+00,2.25E+11,11.35265516,14317374179,10.15586338,4323396061,9.64E+00,3.14E+11,11.49688539,456464945.3,8.659407431,15095247265,1.02E+01,6.00E+13,13.7781346
A,1691,FALSE,44,Tetracyclin,55510166.03,7.744372526,201227.95,5.303688303,14373.42,4.157560116,14675266575,10.166586,16831280274,10.22611715,5865794603,9.77E+00,2.06E+11,11.31441291,9910476301,9.996094527,6340117616,9.80E+00,3.43E+11,11.5355941,1255518644,9.098823166,21071440548,1.03E+01,5.96E+13,13.77560826
B,1692,FALSE,44,Tetracyclin,59639917.53,7.775537034,252635.05,5.402493603,18045.36,4.256365551,17226101443,10.236187,21275480412,10.32787938,12602880000,1.01E+01,2.30E+11,11.36255598,14075381443,10.14846017,7779355052,9.89E+00,4.24E+11,11.627803,1729286928,9.237867059,20120577320,1.03E+01,6.42E+13,13.80720546
C,1693,FALSE,44,Tetracyclin,55779555.79,7.746475051,355607.37,5.550970753,25400.53,4.404842779,19880991947,10.29843805,16804988211,10.22543821,5788779947,9.76E+00,2.83E+11,11.4513381,11481037895,10.05998115,6124066895,9.79E+00,4.20E+11,11.62311588,1135403526,9.055150239,22855393579,1.04E+01,7.14E+13,13.85370369
D,1694,FALSE,44,Tetracyclin,51587082.69,7.712540969,201119.23,5.303453598,14365.66,4.157325584,16951478022,10.22920757,15227598901,10.18263143,4938913681,9.69E+00,2.45E+11,11.38904907,10636334176,10.02679197,5882737500,9.77E+00,3.70E+11,11.56843993,1370627558,9.13691946,19810244231,1.03E+01,5.64E+13,13.75127602
A,1696,FALSE,44,Vancomycin,68476398.77,7.835540912,168335.31,5.226175223,12023.95,4.080047162,7680899654,9.885412091,10377871778,10.0161083,5268895160,9.72E+00,2.17E+11,11.33580279,7809555926,9.892626339,6405158494,9.81E+00,2.55E+11,11.40658787,2179942247,9.338444988,19418680247,1.03E+01,4.79E+13,13.68003893
B,1697,FALSE,44,Vancomycin,191058454.6,8.281166261,230190.91,5.36208817,16442.21,4.215960191,10370100455,10.01578296,12843008506,10.10866677,4700827208,9.67E+00,2.11E+11,11.32520153,8607495779,9.934876818,8656822403,9.94E+00,3.45E+11,11.53817897,2767223571,9.442044248,27063874026,1.04E+01,5.14E+13,13.71136596
C,1698,FALSE,44,Vancomycin,59026693.69,7.771048457,168441.44,5.226448946,12031.53,4.080320858,10610607658,10.02574026,10283350000,10.01213462,5866574775,9.77E+00,1.78E+11,11.24970209,8441322523,9.926410494,7724243243,9.89E+00,3.04E+11,11.48275356,3041571171,9.483097983,23329139640,1.04E+01,5.57E+13,13.74562044
D,1699,FALSE,44,Vancomycin,46046809.32,7.663199542,263662.71,5.421048712,18833.05,4.274920659,2638510424,9.421358814,9013498136,9.954893373,4376801017,9.64E+00,1.82E+11,11.26106531,10685873051,10.02881001,5887211695,9.77E+00,2.62E+11,11.4176228,3363582881,9.526802133,16170057458,1.02E+01,4.02E+13,13.60431895
A,1681,TRUE,49,water,28366983.26,7.452813152,285916.32,5.456238945,20422.59,4.310110819,27162050209,10.43396255,10809679080,10.0338128,3667897908,9.56E+00,1.97E+11,11.29486286,11604117992,10.06461214,4686985356,9.67E+00,3.21E+11,11.50683908,3006205858,9.478018717,17146810042,1.02E+01,5.22E+13,13.71750158
C,1683,TRUE,49,water,42951017.49,7.632973457,238522.11,5.377528643,17037.29,4.231400516,23749987459,10.37566338,16379654191,10.21430473,3812946337,9.58E+00,1.90E+11,11.27984254,16096835116,10.2067405,5992016205,9.78E+00,5.27E+11,11.72164,3552275743,9.55050667,27055222442,1.04E+01,7.48E+13,13.8739643
D,1684,TRUE,49,water,54038013.7,7.732699377,252177.4,5.401706163,18012.67,4.255578093,23218333219,10.36583104,18679140068,10.27135688,7570725719,9.88E+00,2.31E+11,11.36448158,14822627158,10.17092518,8202970479,9.91E+00,5.04E+11,11.70211504,4236580274,9.62701544,36980014041,1.06E+01,6.84E+13,13.83501864
A,1686,TRUE,49,Ciprofloxacin,33647276.84,7.526949921,301383.16,5.479118982,21527.37,4.332990975,19447824632,10.28887103,7939293474,9.899781856,3224799789,9.51E+00,1.99E+11,11.29875704,8247134842,9.916303095,3728540211,9.57E+00,2.34E+11,11.36842078,1695710811,9.229351789,12903504632,1.01E+01,3.64E+13,13.56113479
B,1687,TRUE,49,Ciprofloxacin,53556242.31,7.728810098,180976.92,5.257623193,12926.92,4.111495061,15770846154,10.197855,12477066154,10.09611248,4823035000,9.68E+00,2.87E+11,11.4578486,18007203846,10.25544628,7126612692,9.85E+00,3.47E+11,11.53979222,5890798846,9.770174193,25970188462,1.04E+01,3.43E+13,13.53506868
C,1688,TRUE,49,Ciprofloxacin,77085771.43,7.886974223,192165.38,5.283675149,13726.1,4.137547159,22126471429,10.34491216,16334057692,10.21309409,8422334286,9.93E+00,2.74E+11,11.43749054,20547970055,10.31276892,7930939945,9.90E+00,4.55E+11,11.65816123,2042443516,9.310150055,23677520604,1.04E+01,5.34E+13,13.72716129
D,1689,TRUE,49,Ciprofloxacin,73859817.66,7.868408231,150383.57,5.17720039,10741.68,4.03107221,14845006982,10.17158041,10008026776,10.00034846,3991609692,9.60E+00,1.80E+11,11.25638095,10752425462,10.03150644,6631915565,9.82E+00,2.84E+11,11.45399067,500455047.2,8.699365074,18529404517,1.03E+01,3.57E+13,13.55312538
A,1691,TRUE,49,Tetracyclin,80098019.58,7.903621778,182425.94,5.261086593,13030.42,4.114958414,27819956368,10.44435644,25018415094,10.39825979,17460768868,1.02E+01,2.56E+11,11.40854183,20809587972,10.31826348,9561725519,9.98E+00,6.67E+11,11.8242287,342309252.4,8.534418638,21852021934,1.03E+01,7.60E+13,13.88092501
B,1692,TRUE,49,Tetracyclin,80306626.97,7.904751385,413951.69,5.61694966,29567.98,4.470821656,53636311236,10.7294589,18166565393,10.25927283,22631330000,1.04E+01,2.00E+11,11.30044765,20534960393,10.31249387,8305644888,9.92E+00,5.53E+11,11.74243131,1598740545,9.203777989,24313747921,1.04E+01,1.40E+14,14.14540775
C,1693,TRUE,49,Tetracyclin,96605236.78,7.985000669,374854.02,5.573862173,26775.29,4.427734183,44714729885,10.65045061,12996724483,10.11383391,7965647989,9.90E+00,2.23E+11,11.34869224,13152021149,10.1189925,6677756667,9.82E+00,4.30E+11,11.63347957,542735074.7,8.734587889,18817671954,1.03E+01,8.55E+13,13.93206922
D,1694,TRUE,49,Tetracyclin,49496522.82,7.69457469,237149.66,5.375022506,16939.26,4.228894434,38469063423,10.58511161,16256609497,10.21102997,19039730201,1.03E+01,1.83E+11,11.26352245,17159472148,10.23450392,5493402584,9.74E+00,4.51E+11,11.65442876,857465429.5,8.93321662,17498257383,1.02E+01,1.11E+14,14.0452682
A,1696,TRUE,49,Vancomycin,37214394.46,7.570710957,218632.62,5.339714959,15616.62,4.193587043,31795428923,10.50236469,9776001231,9.990161248,3652726338,9.56E+00,2.13E+11,11.32871997,13161683446,10.11931144,3494998523,9.54E+00,3.04E+11,11.48228317,1249485397,9.096731185,10261677969,1.00E+01,5.40E+13,13.73278847
B,1697,TRUE,49,Vancomycin,125962004,8.100239561,535195.16,5.728512177,38228.23,4.58238419,52410897581,10.7194216,22730503065,10.35660905,13888314435,1.01E+01,2.68E+11,11.42791597,19159986774,10.2823952,10271924274,1.00E+01,5.44E+11,11.73589418,2549822661,9.406509977,26522743065,1.04E+01,6.25E+13,13.79563605
C,1698,TRUE,49,Vancomycin,71859426.82,7.856483749,168260.91,5.225983233,12018.64,4.079855327,26933764091,10.43029705,9677406000,9.985758962,5199262091,9.72E+00,2.65E+11,11.4226719,16092954091,10.20663577,5958839909,9.78E+00,3.23E+11,11.50960705,2022736500,9.305939311,16790035000,1.02E+01,6.50E+13,13.8126507
D,1699,TRUE,49,Vancomycin,46686209.39,7.669188614,212278.96,5.326906951,15162.78,4.180778834,26049661489,10.41580208,9000628091,9.954272817,3490472686,9.54E+00,1.70E+11,11.23038505,13359928252,10.12580413,4165216537,9.62E+00,2.74E+11,11.43725576,1959031586,9.292041438,12512328673,1.01E+01,4.35E+13,13.63881261
A,1681,TRUE,53,water,87119881.01,7.940117274,178550.48,5.251761022,12753.61,4.105633132,29282278846,10.46660487,19755335337,10.29568441,20737362981,1.03E+01,2.30E+11,11.36138782,12141432692,10.08426994,8027119471,9.90E+00,4.12E+11,11.61523861,2707590505,9.432582982,25519965144,1.04E+01,1.24E+14,14.09454799
C,1683,TRUE,53,water,76514516.13,7.883743836,297556.45,5.473569369,21254.03,4.327441289,59723830645,10.77614766,17071238710,10.23226504,17360293548,1.02E+01,2.44E+11,11.38813852,18958596774,10.27780619,5137099597,9.71E+00,3.73E+11,11.57221269,2153033468,9.333050781,21186019355,1.03E+01,9.77E+13,13.99001012
D,1684,TRUE,53,water,81470834.2,7.911002163,168951.52,5.227762103,12067.97,4.081634222,45809996537,10.66096026,29494107359,10.46973526,22832590476,1.04E+01,3.32E+11,11.52144015,33331720346,10.52285773,8010715411,9.90E+00,7.30E+11,11.86331751,1975525931,9.295682735,23544600433,1.04E+01,1.45E+14,14.16117627
A,1686,TRUE,53,Ciprofloxacin,18875240.88,7.275892503,169393.19,5.228895947,12099.51,4.082767783,31289341606,10.49539642,9969999027,9.998695116,4924501946,9.69E+00,2.24E+11,11.34946986,15777765450,10.1980455,5206420608,9.72E+00,2.83E+11,11.45216992,1038743224,9.016508204,19032534550,1.03E+01,7.20E+13,13.8574308
